employeeName,country,salesYear,salesMonth,repsales,regionavg,difffromavg,performance
Anne Dodsworth,UK,1997,12,1941.50,2874.7275,-933.2275,Below Average
Margaret Peacock,USA,1997,6,4232.40,5178.26,-945.86,Below Average
Steven Buchanan,UK,1996,9,1420.00,2405.4666,-985.4666,Below Average
Anne Dodsworth,UK,1998,1,5627.14,6623.31,-996.17,Below Average
Margaret Peacock,USA,1996,8,3670.50,4706.92,-1036.42,Below Average
Robert King,UK,1996,8,479.40,1537.40,-1058.00,Below Average
Robert King,UK,1996,9,1330.80,2405.4666,-1074.6666,Below Average
Michael Suyama,UK,1997,3,1258.20,2382.65,-1124.45,Below Average
Andrew Fuller,USA,1996,9,2950.80,4083.92,-1133.12,Below Average
Janet Leverling,USA,1996,8,3557.20,4706.92,-1149.72,Below Average
Janet Leverling,USA,1996,7,2998.20,4181.54,-1183.34,Below Average
Robert King,UK,1997,6,2082.00,3299.175,-1217.175,Below Average
Michael Suyama,UK,1997,2,1351.60,2621.30,-1269.70,Below Average
Laura Callahan,USA,1997,3,4806.10,6089.86,-1283.76,Below Average
Steven Buchanan,UK,1996,7,1741.20,3094.80,-1353.60,Below Average
Margaret Peacock,USA,1997,5,7573.20,8952.69,-1379.49,Below Average
Nancy Davolio,USA,1997,8,5119.10,6516.338,-1397.238,Below Average
Laura Callahan,USA,1998,5,3223.36,4681.4025,-1458.0425,Below Average
Janet Leverling,USA,1996,10,4317.60,5782.40,-1464.80,Below Average
Laura Callahan,USA,1997,11,4337.50,5889.902,-1552.402,Below Average
Andrew Fuller,USA,1996,11,4759.00,6316.08,-1557.08,Below Average
Robert King,UK,1998,2,6795.55,8486.715,-1691.165,Below Average
Nancy Davolio,USA,1996,10,4061.40,5782.40,-1721.00,Below Average
Laura Callahan,USA,1997,8,4756.50,6516.338,-1759.838,Below Average
Nancy Davolio,USA,1997,11,4106.70,5889.902,-1783.202,Below Average
Steven Buchanan,UK,1996,11,4106.40,6041.20,-1934.80,Below Average
Robert King,UK,1997,12,928.00,2874.7275,-1946.7275,Below Average
Robert King,UK,1997,11,1990.00,4115.9625,-2125.9625,Below Average
Nancy Davolio,USA,1996,7,2018.60,4181.54,-2162.94,Below Average
Michael Suyama,UK,1997,7,1301.00,3487.25,-2186.25,Below Average
Margaret Peacock,USA,1997,7,6104.80,8303.186,-2198.386,Below Average
Andrew Fuller,USA,1997,11,3652.50,5889.902,-2237.402,Below Average
Steven Buchanan,UK,1997,12,629.50,2874.7275,-2245.2275,Below Average
Michael Suyama,UK,1997,5,751.70,3015.0625,-2263.3625,Below Average
Janet Leverling,USA,1997,10,8572.75,10850.48,-2277.73,Below Average
Janet Leverling,USA,1996,9,1762.00,4083.92,-2321.92,Below Average
Anne Dodsworth,UK,1997,8,1928.00,4350.00,-2422.00,Below Average
Laura Callahan,USA,1996,7,1726.00,4181.54,-2455.54,Below Average
Janet Leverling,USA,1996,11,3838.00,6316.08,-2478.08,Below Average
Andrew Fuller,USA,1998,5,2173.50,4681.4025,-2507.9025,Below Average
Nancy Davolio,USA,1998,2,11586.90,14123.018,-2536.118,Below Average
Laura Callahan,USA,1997,6,2616.05,5178.26,-2562.21,Below Average
Janet Leverling,USA,1997,1,7477.90,10056.18,-2578.28,Below Average
Steven Buchanan,UK,1998,2,5872.40,8486.715,-2614.315,Below Average
Steven Buchanan,UK,1996,10,1470.00,4097.20,-2627.20,Below Average
Janet Leverling,USA,1998,4,14298.95,16957.282,-2658.332,Below Average
Nancy Davolio,USA,1997,1,7331.60,10056.18,-2724.58,Below Average
Laura Callahan,USA,1998,1,12092.75,14872.296,-2779.546,Below Average
Margaret Peacock,USA,1998,2,11325.05,14123.018,-2797.968,Below Average
Anne Dodsworth,UK,1997,5,139.80,3015.0625,-2875.2625,Below Average
Andrew Fuller,USA,1996,8,1814.00,4706.92,-2892.92,Below Average
Laura Callahan,USA,1998,4,14055.30,16957.282,-2901.982,Below Average
Janet Leverling,USA,1997,9,3595.50,6543.656,-2948.156,Below Average
Anne Dodsworth,UK,1998,4,9501.50,12461.0375,-2959.5375,Below Average
Steven Buchanan,UK,1998,3,2644.60,5637.00,-2992.40,Below Average
Andrew Fuller,USA,1996,7,1176.00,4181.54,-3005.54,Below Average
Andrew Fuller,USA,1998,3,14350.56,17455.49,-3104.93,Below Average
Andrew Fuller,USA,1997,3,2905.10,6089.86,-3184.76,Below Average
Nancy Davolio,USA,1998,4,13620.90,16957.282,-3336.382,Below Average
Laura Callahan,USA,1997,1,6701.10,10056.18,-3355.08,Below Average
Robert King,UK,1997,10,642.00,4019.025,-3377.025,Below Average
Anne Dodsworth,UK,1997,7,28.00,3487.25,-3459.25,Below Average
Janet Leverling,USA,1996,12,2758.80,6355.48,-3596.68,Below Average
Steven Buchanan,UK,1997,11,509.75,4115.9625,-3606.2125,Below Average
Anne Dodsworth,UK,1997,10,378.00,4019.025,-3641.025,Below Average
Laura Callahan,USA,1997,9,2891.40,6543.656,-3652.256,Below Average
Michael Suyama,UK,1996,11,2299.80,6041.20,-3741.40,Below Average
Michael Suyama,UK,1997,1,1500.00,5470.6333,-3970.6333,Below Average
Laura Callahan,USA,1997,5,4792.60,8952.69,-4160.09,Below Average
Anne Dodsworth,UK,1997,1,1208.50,5470.6333,-4262.1333,Below Average
Laura Callahan,USA,1997,7,3984.10,8303.186,-4319.086,Below Average
Andrew Fuller,USA,1997,5,4589.60,8952.69,-4363.09,Below Average
Michael Suyama,UK,1998,1,1975.60,6623.31,-4647.71,Below Average
Steven Buchanan,UK,1997,9,2091.70,6753.685,-4661.985,Below Average
Nancy Davolio,USA,1997,2,2504.60,7192.92,-4688.32,Below Average
Anne Dodsworth,UK,1997,4,611.00,5336.3633,-4725.3633,Below Average
Andrew Fuller,USA,1997,12,7834.75,13195.47,-5360.72,Below Average
Laura Callahan,USA,1996,10,385.20,5782.40,-5397.20,Below Average
Andrew Fuller,USA,1997,2,1584.00,7192.92,-5608.92,Below Average
Laura Callahan,USA,1996,11,704.80,6316.08,-5611.28,Below Average
Michael Suyama,UK,1997,9,671.35,6753.685,-6082.335,Below Average
Nancy Davolio,USA,1998,1,8712.13,14872.296,-6160.166,Below Average
Anne Dodsworth,UK,1996,12,166.00,6392.00,-6226.00,Below Average
Andrew Fuller,USA,1997,8,57.50,6516.338,-6458.838,Below Average
Michael Suyama,UK,1998,2,1953.40,8486.715,-6533.315,Below Average
Margaret Peacock,USA,1998,4,10130.21,16957.282,-6827.072,Below Average
Andrew Fuller,USA,1997,1,3150.20,10056.18,-6905.98,Below Average
Michael Suyama,UK,1998,4,5340.00,12461.0375,-7121.0375,Below Average
Laura Callahan,USA,1997,4,800.50,7938.06,-7137.56,Below Average
Janet Leverling,USA,1997,7,1109.15,8303.186,-7194.036,Below Average
Nancy Davolio,USA,1997,4,240.00,7938.06,-7698.06,Below Average
Laura Callahan,USA,1997,12,4728.10,13195.47,-8467.37,Below Average
Margaret Peacock,USA,1998,3,8835.39,17455.49,-8620.10,Below Average
Andrew Fuller,USA,1998,1,4693.95,14872.296,-10178.346,Below Average
Steven Buchanan,UK,1998,4,210.00,12461.0375,-12251.0375,Below Average
Laura Callahan,USA,1998,2,106.00,14123.018,-14017.018,Below Average
